run, planet, e, pericenter, jacobi, mhr1, mhr2, a1_ratio, a2_ratio, mass1_ratio, mass2_ratio, end time, fate
1, 1, 0.0696886256602, 0.7367549063201584, 0.745464687757, 0.038646945463210854, 0.024639347662698725, 0.570063097911836, 0.46366506105039906, 0.11838955185745223, 1.5977134918766829, 217891.6626668, ejected
1, 2, 0.0841665038312, 1.2722964073190526, 1.34918770152, 0.038646945463210854, 0.05414401981868926, 1.7541917792311768, 0.8133574384113317, 8.446691319552059, 13.495392682965985, 10000000.0, remaining
1, 3, 0.0893777489913, 1.5553516437779076, 1.71903335463, 0.05414401981868926, 0.03554453964795739, 1.2294717583861074, 0.6438756923816205, 0.07409936290792113, 2.1302783845555453, 1172627.2970951, central body collision
1, 4, 0.158248297944, 2.2329155995145267, 2.60837250316, 0.03554453964795739, 0.042459837296707506, 1.553094816021269, 0.8697040691844536, 0.4694222160117523, 0.7216963062203087, 10000000.0, remaining
1, 5, 0.18670430863499998, 2.4806487486284676, 3.52166227245, 0.042459837296707506, 0.24022854453294287, 1.1498163978210756, 0.9139703564793934, 1.3856243843580585, 0.004526438687892096, 119419.1644012, ejected
1, 6, 0.135435197956, 2.8852419833128646, 3.49502231102, 0.24022854453294287, 0.2429127155973727, 1.0941273892645622, 1.1882063415316821, 220.92423402860385, 6.028372460756772, 10000000.0, remaining
1, 7, 0.182145997241, 2.2970402753123276, 3.3192826503500004, 0.2429127155973727, 0.13403047980017935, 0.8416046649868315, 0.8666593727540045, 0.1658822520522338, 4.201227857879963, 405296.0871785, ejected
1, 8, 0.08673563144369999, 2.959653723541713, 3.0172524176599995, 0.13403047980017935, 0.12081030557207464, 1.1538558647583488, 0.5440040859914317, 0.23802565198275705, 11.96368979636984, 41035.391075, ejected
1, 9, 0.08701888201050001, 5.438811688864013, 5.89284516845, 0.12081030557207464, 0.10220784711950234, 1.8382214872109446, 1.0524435650536728, 0.0835862528217199, 0.3453267916016678, 561651.3232788, ejected
1, 10, 0.0313549593933, 5.482871514642014, 5.82951679303, 0.10220784711950234, 0.12235314924903785, 0.9501697128520157, 1.7466223826616283, 2.8958077517295373, 0.24204971885916138, 10000000.0, remaining
2, 1, 0.218041272074, 0.2685608101008898, 0.34333018433799994, 0.03905870858759938, 0.012986981517857741, 0.3484953516983893, 0.29041453907675807, 0.005356867127033216, 0.2811970949594862, 865062.7468969, ejected
2, 2, 0.13173905861500002, 0.8556813803700805, 0.8678464151, 0.03905870858759938, 0.06401004451742343, 2.8694787322887034, 0.8333383434281838, 186.67627482368192, 52.49282617827802, 314354.8567997, ejected
2, 3, 0.0362408055991, 1.1397483874038599, 1.17549481558, 0.06401004451742343, 0.02828503387136636, 1.1999927855067896, 0.5910880098018528, 0.019050222150428023, 2.1823590977766516, 64702.7085885, ejected
2, 4, 0.056503824721200004, 1.887680312021409, 2.03329667103, 0.02828503387136636, 0.1449563772593385, 1.6917954406404292, 1.0195362411665994, 0.45821973158257145, 0.004525161727384468, 126278.6491667, ejected
2, 5, 0.0989911975956, 1.7681319342178323, 2.01396003945, 0.1449563772593385, 0.1969940553039845, 0.9808381101350109, 0.5941776163715657, 220.9865768881585, 13.292340836004088, 10000000.0, remaining
2, 6, 0.258943392568, 2.4474889001472393, 3.85442559758, 0.1969940553039845, 0.09772708794447467, 1.6829984375827705, 1.1205974611167033, 0.07523129389605823, 23.14092962398648, 2925130.1406803, central body collision
2, 7, 0.08513966566749999, 2.6963391095374356, 2.83768380999, 0.09772708794447467, 0.19518172290747027, 0.8923811044542928, 0.7836443357503968, 0.043213475700797296, 0.0064709456703171565, 33158.6178325, ejected
2, 8, 0.13863767650699999, 3.239564159152455, 4.266282063859999, 0.19518172290747027, 0.2626644315595865, 1.2760891062173336, 0.9975010397636804, 154.5369179325821, 1.3635672028725798, 10000000.0, remaining
2, 9, 0.147898499927, 3.2127629792801837, 4.202744087130001, 0.2626644315595865, 0.27912204560419457, 1.0025052206831901, 0.5848053355110653, 0.7333705283416428, 7.362075395399761, 121500.1773391, central body collision
2, 10, 0.15326181575099998, 5.459151862489345, 6.29379995475, 0.27912204560419457, 0.30591062228453775, 1.709970718933495, 1.7142545729462164, 0.135831263100736, 0.09961464518549946, 10000000.0, remaining
3, 1, 0.08452087291850001, 0.2940473640765454, 0.33975989369000004, 0.005080917516277521, 0.01010907164633179, 0.7615431106316212, 0.282187303160058, 0.7267051613792862, 0.6807336623208816, 15408.949, planet-planet collision
3, 2, 0.0713039459978, 0.391694930223232, 0.433001296015, 0.005080917516277521, 0.011328639988468088, 1.313123296684548, 0.3705467218080574, 1.376073892336199, 0.9367398203541712, 10000000.0, remaining
3, 3, 0.177920919692, 0.9357179731975176, 1.0865144127, 0.011328639988468088, 0.01869555581379439, 2.698715009865877, 0.8831322565394676, 1.0675322840678543, 0.7625614843759666, 10000000.0, remaining
3, 4, 0.0474740631251, 1.2276722440448378, 1.3463764751700003, 0.01869555581379439, 0.02859472909225152, 1.1323332293607706, 0.5296671690805355, 1.311369667218819, 1.3361329166198805, 4323388.4715427, central body collision
3, 5, 0.31390413397, 1.669503658610489, 3.03463658124, 0.02859472909225152, 0.24386629972044174, 1.8879780707117053, 0.6407827432599785, 0.7484285339888025, 0.0032474546231629118, 132795.5907352, ejected
3, 6, 0.130656723068, 3.3012853530616004, 3.44007984829, 0.24386629972044174, 0.2889976030861464, 1.560591340073401, 1.058783018104069, 307.93347899840205, 314.7017340918706, 10000000.0, remaining
