run, planet, initial e, final e, mean e, min e, max e, sd e, initial pericenter, final pericenter, mean pericenter, min pericenter, max pericenter, sd pericenter, initial jacobi, final jacobi, mean jacobi, min jacobi, max jacobi, sd jacobi, initial mhr1, final mhr1, mean mhr1, min mhr1, max mhr1, sd mhr1, initial mhr2, final mhr2, mean mhr2, min mhr2, max mhr2, sd mhr2, initial a1_ratio, final a1_ratio, mean a1_ratio, min a1_ratio, max a1_ratio, sd a1_ratio, initial a2_ratio, final a2_ratio, mean a2_ratio, min a2_ratio, max a2_ratio, sd a2_ratio, initial mass1_ratio, final mass1_ratio, mean mass1_ratio, min mass1_ratio, max mass1_ratio, sd mass1_ratio, initial mass2_ratio, final mass2_ratio, mean mass2_ratio, min mass2_ratio, max mass2_ratio, sd mass2_ratio, end time, fate
57, 4, 0.10751746828400001, 0.240294042559, 0.2176652220666667, 0.10751746828400001, 0.305184155357, 0.08226816894465526, 0.9656523456164839, 0.8660639836722014, 0.948917957965846, 0.8660639836722014, 1.0150375446088526, 0.06195864352973901, 1.10920617222, 1.21673706574, 1.3797667161933334, 1.10920617222, 1.81335691062, 0.30972145097653836, 0.012118686877239236, 0.01263608438881039, 0.01318839460977319, 0.012118686877239236, 0.014810412563269941, 0.001166228030116566, 0.04641454978608207, 0.04755003319466209, 0.04927508107375262, 0.04641454978608207, 0.05386066024051372, 0.003275462599772755, 1.8131364631694253, 1.8676100638383268, 2.0512493978680073, 1.8131364631694253, 2.47300166659627, 0.2990519190436518, 0.874820297923921, 0.9226873321155008, 0.9950971350323149, 0.874820297923921, 1.1877837750575229, 0.13764427382139205, 0.6889053747535071, 0.6889053747535071, 0.6889053747535071, 0.6889053747535071, 0.6889053747535071, 0.0, 0.01950698682508626, 0.01950698682508626, 0.01950698682508626, 0.01950698682508626, 0.01950698682508626, 0.0, 122416.1603375, ejected
57, 5, 0.195939825629, 0.193024160143, 0.1936666183586667, 0.192035869304, 0.195939825629, 0.0016572634403407517, 0.9944679149263593, 0.9970350381360515, 0.9950766473028416, 0.993726988846114, 0.9970350381360515, 0.0014174422635619462, 1.4637299562700001, 1.4334504907499999, 1.442942549406667, 1.4316472012, 1.4637299562700001, 0.014717340710345873, 0.04641454978608207, 0.04755003319466209, 0.04927508107375262, 0.04641454978608207, 0.05386066024051372, 0.003275462599772755, 0.08681377304543111, 0.08657835396981574, 0.08663231071492901, 0.08650480512954017, 0.08681377304543111, 0.00013177959128765358, 1.1430919039866234, 1.0837907546722678, 1.0229289110962039, 0.8419040746297206, 1.1430919039866234, 0.13027317488208806, 0.4717526704099439, 0.4729167667422925, 0.47167330070692426, 0.47035046496853633, 0.4729167667422925, 0.001049190437373527, 51.26368356972416, 51.26368356972416, 51.26368356972416, 51.26368356972416, 51.26368356972416, 0.0, 2.2330957886581784, 2.2330957886581784, 2.2330957886581784, 2.2330957886581784, 2.2330957886581784, 0.0, 10000000.0, remaining
57, 6, 0.11131803838300001, 0.118291285067, 0.11475115296933334, 0.11131803838300001, 0.118291285067, 0.002847821610726133, 2.329883586136914, 2.303511102947599, 2.3161676327186647, 2.303511102947599, 2.329883586136914, 0.010792551482104994, 2.91326158112, 2.30844849824, 2.633771447533334, 2.30844849824, 2.91326158112, 0.24903172696452863, 0.08681377304543111, 0.08657835396981574, 0.08663231071492901, 0.08650480512954017, 0.08681377304543111, 0.00013177959128765358, 0.10094514913726553, 0.10340269238235612, 0.10171709141933157, 0.10080343273837307, 0.10340269238235612, 0.0011933032135884344, 2.11975482646663, 2.1145369974690116, 2.1201220161089323, 2.1145369974690116, 2.126074224391155, 0.0047172041464069395, 0.6667869189163381, 0.6371132518023453, 0.6564490865613974, 0.6371132518023453, 0.6667869189163381, 0.013683436835491005, 0.44780882444853815, 0.44780882444853815, 0.44780882444853815, 0.44780882444853815, 0.44780882444853815, 0.0, 26.758038124717135, 26.758038124717135, 26.758038124717135, 26.758038124717135, 26.758038124717135, 0.0, 241895.415, planet-planet collision
57, 7, 0.11359849318399999, 0.0860355477971, 0.10436331120036667, 0.0860355477971, 0.11359849318399999, 0.01295981654332097, 3.4852286163905517, 3.747812390242541, 3.572245654532478, 3.483695956964342, 3.747812390242541, 0.12414600618396733, 3.5224362841100003, 4.4500688323, 3.9160092205, 3.5224362841100003, 4.4500688323, 0.39151663701660183, 0.10094514913726553, 0.10340269238235612, 0.10171709141933157, 0.10080343273837307, 0.10340269238235612, 0.0011933032135884344, 0.09479288437126626, 0.09649744278472554, 0.0953617283163382, 0.09479288437126626, 0.09649744278472554, 0.0008030718062027516, 1.4997294812339745, 1.5695796582021728, 1.5240194061122472, 1.4997294812339745, 1.5695796582021728, 0.03223954011655294, 0.9937299181970622, 1.043460299243168, 1.0098966240412894, 0.9924996546836383, 1.043460299243168, 0.02373841621887768, 0.03737194764949051, 0.03737194764949051, 0.03737194764949051, 0.03737194764949051, 0.03737194764949051, 0.0, 0.08210373358480112, 0.08210373358480112, 0.08210373358480112, 0.08210373358480112, 0.08210373358480112, 0.0, 13248.2797185, ejected
57, 8, 0.14798311037200002, 0.15013185646299998, 0.14974994241533332, 0.14798311037200002, 0.151134860411, 0.0013147308550771738, 3.371169772766424, 3.3398284392408635, 3.3572804202461612, 3.3398284392408635, 3.371169772766424, 0.013040680914785928, 4.11735866434, 3.8049528405400004, 4.156893231463333, 3.8049528405400004, 4.54836818951, 0.30478279891234944, 0.09479288437126626, 0.09649744278472554, 0.0953617283163382, 0.09479288437126626, 0.09649744278472554, 0.0008030718062027516, 0.293590813710771, 0.2934632742133206, 0.2936075924269028, 0.2934632742133206, 0.2937686893566168, 0.00012524841030245765, 1.006309643785621, 0.9583498296248641, 0.9907388330095156, 0.9583498296248641, 1.0075570256180617, 0.02290814477498048, 0.7032289134862573, 0.6956446060256716, 0.7007137456340568, 0.6956446060256716, 0.7032677173902417, 0.0035844579983326636, 12.17971408044613, 12.17971408044613, 12.17971408044613, 12.17971408044613, 12.17971408044613, 0.0, 0.059058269324648076, 0.059058269324648076, 0.059058269324648076, 0.059058269324648076, 0.059058269324648076, 0.0, 834339.005287, ejected
57, 9, 0.20706627731, 0.20864090982900002, 0.2076432567526667, 0.20706627731, 0.20864090982900002, 0.0007083274299455144, 4.461414660592717, 4.470527609869806, 4.465026090275785, 4.461414660592717, 4.470527609869806, 0.003953124589934028, 4.685305705299999, 5.0350013244800005, 4.852938439586667, 4.685305705299999, 5.0350013244800005, 0.14312681661920057, 0.293590813710771, 0.2934632742133206, 0.2936075924269028, 0.2934632742133206, 0.2937686893566168, 0.00012524841030245765, 0.3201664728507472, 0.3142474066112831, 0.31805578441321075, 0.3142474066112831, 0.3201664728507472, 0.0026982028797289306, 1.4220120658044335, 1.4375156384998933, 1.4271537694510996, 1.4219336040489714, 1.4375156384998933, 0.007327017888155772, 1.1634553898130333, 1.2228023971584552, 1.184814710486691, 1.1634553898130333, 1.2228023971584552, 0.02693069793673656, 16.932429809328127, 16.932429809328127, 16.932429809328127, 16.932429809328127, 16.932429809328127, 0.0, 18.028895823084675, 18.028895823084675, 18.028895823084675, 18.028895823084675, 18.028895823084675, 0.0, 10000000.0, remaining
