run, planet, initial e, final e, mean e, median e, min e, max e, sd e, initial pericenter, final pericenter, mean pericenter, median pericenter, min pericenter, max pericenter, sd pericenter, initial jacobi, final jacobi, mean jacobi, median jacobi, min jacobi, max jacobi, sd jacobi, initial mhr1, final mhr1, mean mhr1, median mhr1, min mhr1, max mhr1, sd mhr1, initial mhr2, final mhr2, mean mhr2, median mhr2, min mhr2, max mhr2, sd mhr2, initial a1_ratio, final a1_ratio, mean a1_ratio, median a1_ratio, min a1_ratio, max a1_ratio, sd a1_ratio, initial a2_ratio, final a2_ratio, mean a2_ratio, median a2_ratio, min a2_ratio, max a2_ratio, sd a2_ratio, initial mass1_ratio, final mass1_ratio, mean mass1_ratio, median mass1_ratio, min mass1_ratio, max mass1_ratio, sd mass1_ratio, initial mass2_ratio, final mass2_ratio, mean mass2_ratio, median mass2_ratio, min mass2_ratio, max mass2_ratio, sd mass2_ratio, end time, fate
1, 1, 0.0701205551129, 0.0681648357549, 0.06861723945418999, 0.0683749210903, 0.0670341463476, 0.0701205551129, 0.0008515039828311847, 75.2330957673, 81.1793959428, 78.06481850524001, 77.71185653565, 75.2330957673, 81.1793959428, 1.8076214845598377, 0.847422596372, 0.7981631135230001, 0.7960870444513001, 0.796089389282, 0.7381320510670001, 0.847422596372, 0.03831342581762769, 0.038658433739528514, 0.038296223528898436, 0.03856843535307462, 0.038567692890895566, 0.038296223528898436, 0.038754551667421734, 0.0001259740184488225, 0.02448987647610315, 0.025031565298418473, 0.024588819919548695, 0.02458487120242165, 0.02397690034252545, 0.025047504227635606, 0.00035291332445421464, 0.5697788581582653, 0.5783677134139857, 0.5720063696740654, 0.57199688094898, 0.5677833901229912, 0.5783677134139857, 0.002945419383130267, 0.4678048299098043, 0.4531547457238554, 0.46534760215644955, 0.46522025057684246, 0.45286908596472464, 0.4828205953381112, 0.009879919912378268, 0.11838955185745223, 0.11838955185745223, 0.11838955185745223, 0.11838955185745223, 0.11838955185745223, 0.11838955185745223, 0.0, 1.5977134918766829, 1.5977134918766829, 1.5977134918766827, 1.5977134918766829, 1.5977134918766829, 1.5977134918766829, 2.220446049250313e-16, 217891.6626668, ejected
1, 2, 0.0827062717208, 0.09694096508330001, 0.08912384512909, 0.08922855310694999, 0.0827062717208, 0.09694096508330001, 0.004968866370898367, 75.83668751260001, 97.3002836234, 89.14970117454, 93.61008222174999, 75.83668751260001, 97.8787919975, 8.52297656488624, 1.50184362624, 1.2393609615999999, 1.389764047149, 1.36133702061, 1.2393609615999999, 1.51208896542, 0.09300472301008399, 0.038658433739528514, 0.038296223528898436, 0.03856843535307462, 0.038567692890895566, 0.038296223528898436, 0.038754551667421734, 0.0001259740184488225, 0.0538908043200562, 0.054491701521391794, 0.05397373300334185, 0.053990889964552466, 0.05306893442166101, 0.05472485651358298, 0.0005427096079640727, 1.7550668749492873, 1.729003844452529, 1.748278499165539, 1.7482636317856268, 1.729003844452529, 1.7612350368040592, 0.008975971765475297, 0.8210287609159832, 0.7835062974884542, 0.8136213573606017, 0.8133657009040762, 0.7835062974884542, 0.8503605490000762, 0.020522675303595053, 8.446691319552059, 8.446691319552059, 8.446691319552059, 8.446691319552059, 8.446691319552059, 8.446691319552059, 0.0, 13.495392682965985, 13.495392682965985, 13.495392682965985, 13.495392682965985, 13.495392682965985, 13.495392682965985, 0.0, 10000000.0, remaining
1, 3, 0.0826949626084, 0.11523742205999998, 0.10366490791934, 0.0989301002137, 0.0670019195064, 0.148970513979, 0.0267329089653661, 315.285405986, 116.602589851, 258.11575569761004, 316.191897289, 98.88662677309999, 334.45311926700003, 95.11212874468295, 1.5835490006900002, 1.9450542855700002, 1.739688253708, 1.7344646963600001, 1.53907739211, 1.9450542855700002, 0.14123827652452925, 0.0538908043200562, 0.054491701521391794, 0.05397373300334185, 0.053990889964552466, 0.05306893442166101, 0.05472485651358298, 0.0005427096079640727, 0.03643846783518578, 0.06076100480353687, 0.050612383262556536, 0.05570148674136793, 0.03554453964795739, 0.06076100480353687, 0.00974388212557305, 1.2179841286976927, 1.2763139277955018, 1.2298477571909512, 1.229459269049172, 1.175971770063748, 1.2763139277955018, 0.03072837099411689, 0.6094862130918185, 0.30626828781733517, 0.41281582641830566, 0.3319746104089665, 0.30626828781733517, 0.6438756923816205, 0.13456368952138203, 0.07409936290792113, 0.07409936290792113, 0.07409936290792114, 0.07409936290792113, 0.07409936290792113, 0.07409936290792113, 1.3877787807814457e-17, 2.1302783845555453, 2.1302783845555453, 2.1302783845555453, 2.1302783845555453, 2.1302783845555453, 2.1302783845555453, 0.0, 1172627.2970951, central body collision
1, 4, 0.137077029901, 0.46834755744900003, 0.3432081198449, 0.416650716328, 0.137077029901, 0.46834755744900003, 0.13151518419584474, 227.43944761400002, 316.092309607, 290.31140804250003, 317.333584984, 225.42512249, 318.311561878, 41.65717725875155, 2.52382867199, 7.59409539375, 4.96956361922, 4.882754238285, 2.52382867199, 7.59409539375, 1.9669340797405268, 0.03643846783518578, 0.06076100480353687, 0.050612383262556536, 0.05570148674136793, 0.03554453964795739, 0.06076100480353687, 0.00974388212557305, 0.0432449926977997, 0.05991530237184143, 0.05324310763669797, 0.055944595217016294, 0.042459837296707506, 0.06033675308957496, 0.006970543381320625, 1.6407262026932037, 3.2651111452858643, 2.6413748572879623, 3.0125891641059006, 1.553094816021269, 3.2651111452858643, 0.6735224955079007, 0.9164450269344924, 2.438000260701923, 1.769153621477578, 2.0625884737183857, 0.8697040691844536, 2.438000260701923, 0.5959828949444482, 0.4694222160117523, 0.4694222160117523, 0.4694222160117524, 0.4694222160117523, 0.4694222160117523, 0.4694222160117523, 5.551115123125783e-17, 0.7216963062203087, 0.7216963062203087, 0.7216963062203086, 0.7216963062203087, 0.7216963062203087, 0.7216963062203087, 1.1102230246251565e-16, 10000000.0, remaining
1, 5, 0.172354786684, 0.24567264273699999, 0.18882282187063998, 0.21137808208449999, 0.0833450002291, 0.24567264273699999, 0.0593829812839589, 270.82232814900004, 165.398800264, 183.7652069755, 160.0448815685, 151.003325895, 275.899901493, 46.21946734025313, 2.83692481242, 2.78754346622, 2.677415519478, 2.7841103458800003, 1.80638701409, 3.52166227245, 0.43164965946317435, 0.0432449926977997, 0.05991530237184143, 0.05324310763669797, 0.055944595217016294, 0.042459837296707506, 0.06033675308957496, 0.006970543381320625, 0.23971601977451304, 0.21755225831985, 0.2273499063703444, 0.22227041260201355, 0.2169633292295998, 0.24032597042524598, 0.01035732493836664, 1.0911729242996702, 0.41017222849356494, 0.6637580405160398, 0.4857444037219817, 0.41017222849356494, 1.1498163978210756, 0.2963635295913645, 0.9066093076094365, 0.6796967590195864, 0.7788514884049134, 0.7289516756242955, 0.6796967590195864, 0.9139703564793934, 0.09973344759689728, 1.3856243843580585, 1.3856243843580585, 1.3856243843580585, 1.3856243843580585, 1.3856243843580585, 1.3856243843580585, 0.0, 0.004526438687892096, 0.004526438687892096, 0.004526438687892096, 0.004526438687892096, 0.004526438687892096, 0.004526438687892096, 0.0, 119419.1644012, ejected
1, 6, 0.143341146194, 0.151221967929, 0.14266425907990002, 0.14350408031200002, 0.135435197956, 0.151221967929, 0.004207832131131805, 350.55211967300005, 342.787864505, 345.4240486363, 344.00140381849997, 341.446826408, 350.55211967300005, 3.598977720185369, 2.8820533282, 3.60881461996, 3.43924993965, 3.49627774572, 2.8820533282, 3.88716740708, 0.3374540678485489, 0.23971601977451304, 0.21755225831985, 0.2273499063703444, 0.22227041260201355, 0.2169633292295998, 0.24032597042524598, 0.01035732493836664, 0.242544037947617, 0.2304270051123442, 0.2352751147910334, 0.2332582566335918, 0.23027537060197253, 0.2435435769066395, 0.005242592411801364, 1.1030109569874347, 1.4712443258408765, 1.3045272734648807, 1.3743532945043913, 1.0941273892645622, 1.4712443258408765, 0.16095783700615887, 1.19666758410599, 1.4431697630420939, 1.3393736463392192, 1.370447014613981, 1.1795606087194763, 1.44666149418762, 0.10428039282658985, 220.92423402860385, 220.92423402860385, 220.92423402860385, 220.92423402860385, 220.92423402860385, 220.92423402860385, 0.0, 6.028372460756772, 6.028372460756772, 6.028372460756772, 6.028372460756772, 6.028372460756772, 6.028372460756772, 0.0, 10000000.0, remaining
1, 7, 0.142989694991, 0.353207588878, 0.2722828586165, 0.2895510531415, 0.142989694991, 0.353207588878, 0.07160840157925091, 84.8945023647, 39.013989014699995, 76.78350319167, 80.58896693829999, 39.013989014699995, 116.177212539, 26.588651675691796, 3.15173084879, 2.58293393832, 2.8195477917750003, 2.89393734016, 1.79559293037, 3.3192826503500004, 0.4642962179316287, 0.242544037947617, 0.2304270051123442, 0.2352751147910334, 0.2332582566335918, 0.23027537060197253, 0.2435435769066395, 0.005242592411801364, 0.1327870140899572, 0.1379770714051929, 0.13412002704466924, 0.13579929160846027, 0.12707708774868426, 0.13856907515575523, 0.0038245447577609543, 0.8356539554358222, 0.6929191738968219, 0.751398799358514, 0.7298204457374642, 0.6912467111468638, 0.8477733086437956, 0.06146695994538764, 0.8730721009641345, 0.6212067574987108, 0.7357153729640108, 0.7130692823610354, 0.6212067574987108, 0.8730721009641345, 0.09783894719655166, 0.1658822520522338, 0.1658822520522338, 0.1658822520522338, 0.1658822520522338, 0.1658822520522338, 0.1658822520522338, 0.0, 4.201227857879963, 4.201227857879963, 4.201227857879963, 4.201227857879963, 4.201227857879963, 4.201227857879963, 0.0, 405296.0871785, ejected
1, 8, 0.08764551381310001, 0.059114789702300004, 0.12053422979221, 0.10640750033850001, 0.059114789702300004, 0.17882624167199998, 0.038057868750327316, 208.56755582099998, 185.434681444, 205.8673453743, 207.11600336100003, 185.434681444, 216.993010892, 7.968006275431263, 3.47561343328, 3.75837661167, 3.387105961694, 3.36162628479, 3.01310783358, 3.8133316384900002, 0.26925130212818, 0.1327870140899572, 0.1379770714051929, 0.13412002704466924, 0.13579929160846027, 0.12707708774868426, 0.13856907515575523, 0.0038245447577609543, 0.12002245416846677, 0.12954272530463684, 0.12470633339896202, 0.12491307527140619, 0.12002245416846677, 0.12954272530463684, 0.003677626656652137, 1.1453807754201504, 1.6097699967503578, 1.3829762735682103, 1.4065381261198688, 1.1453807754201504, 1.6097699967503578, 0.17912532873499382, 0.5388236735451238, 0.6379227855441724, 0.5839993918600526, 0.5834899955577224, 0.5343672061433209, 0.6379227855441724, 0.040798261033017875, 0.23802565198275705, 0.23802565198275705, 0.23802565198275705, 0.23802565198275705, 0.23802565198275705, 0.23802565198275705, 0.0, 11.96368979636984, 11.96368979636984, 11.963689796369838, 11.96368979636984, 11.96368979636984, 11.96368979636984, 1.7763568394002505e-15, 41035.391075, ejected
1, 9, 0.08686110612369999, 0.0981975520175, 0.09227621693938, 0.09349062460265001, 0.08672572254930001, 0.0981975520175, 0.0044246700944644436, 152.67432595, 156.304466911, 156.0983408889, 156.463712037, 152.67432595, 158.47290448299998, 1.8011395906195296, 5.65939886771, 5.969915712230001, 6.221210806876, 6.24664607741, 5.65939886771, 6.574069101930001, 0.2914074370866752, 0.12002245416846677, 0.12954272530463684, 0.12470633339896202, 0.12491307527140619, 0.12002245416846677, 0.12954272530463684, 0.003677626656652137, 0.10181393050496353, 0.10236084742175397, 0.10213257816714479, 0.10221611100854833, 0.10169788195993494, 0.10246785528500747, 0.0002614301440841496, 1.8558947000613828, 1.5675878376831487, 1.7207247270557957, 1.7186347570782399, 1.5675878376831487, 1.8713723231956592, 0.12019494909228252, 1.0539130900166156, 1.07270099684842, 1.067387617031722, 1.0694884771326283, 1.0524435650536728, 1.085736377319243, 0.011416218227122115, 0.0835862528217199, 0.0835862528217199, 0.08358625282171991, 0.0835862528217199, 0.0835862528217199, 0.0835862528217199, 1.3877787807814457e-17, 0.3453267916016678, 0.3453267916016678, 0.3453267916016678, 0.3453267916016678, 0.3453267916016678, 0.3453267916016678, 0.0, 561651.3232788, ejected
1, 10, 0.0299384638547, 0.0448867615387, 0.03334705809041, 0.0307914634882, 0.025050081828700003, 0.0461332862271, 0.006962703602710367, 240.152739123, 227.35186457900002, 236.6772162059, 233.3228521685, 225.61902309599998, 258.152350083, 10.251627362702493, 5.803119892690001, 5.56009047005, 5.732313159704001, 5.73981827877, 5.56009047005, 5.82951679303, 0.08585860310334006, 0.10181393050496353, 0.10236084742175397, 0.10213257816714479, 0.10221611100854833, 0.10169788195993494, 0.10246785528500747, 0.0002614301440841496, 0.12143344446023288, 0.12996277401052667, 0.12531504229858442, 0.12539044813198755, 0.12143344446023288, 0.12996277401052667, 0.0031321471875071136, 0.9488448425896621, 0.9322262242115795, 0.9369738905937991, 0.9350335711300117, 0.9210338908134109, 0.9501697128520157, 0.010014872936892258, 1.7609561145427308, 1.461346491043356, 1.6132883712525625, 1.6086840704394616, 1.461346491043356, 1.7609561145427308, 0.1274871956707736, 2.8958077517295373, 2.8958077517295373, 2.8958077517295377, 2.8958077517295373, 2.8958077517295373, 2.8958077517295373, 4.440892098500626e-16, 0.24204971885916138, 0.24204971885916138, 0.24204971885916135, 0.24204971885916138, 0.24204971885916138, 0.24204971885916138, 2.7755575615628914e-17, 10000000.0, remaining
